id,name,contact_info,api_url,created_at,updated_at
1,Viettel Post,"Phone: 19008098, Email: support@viettelpost.vn",https://api.viettelpost.vn/shipment,2025-01-10,2025-01-10
2,Giao Hang Nhanh,"Phone: 18006001, Email: support@ghn.vn",https://api.ghn.vn/track,2025-01-10,2025-01-10
3,J&T Express,"Phone: 19008088, Email: support@jtexpress.vn",https://api.jtexpress.vn/shipment,2025-01-10,2025-01-10
4,Now Shipping,"Phone: 19006369, Email: support@now.vn",https://api.now.vn/delivery,2025-01-10,2025-01-10
5,VnPost,"Phone: 18001199, Email: support@vnpost.vn",https://api.vnpost.vn/shipment,2025-01-10,2025-01-10
6,Grab Express,"Phone: 19006060, Email: support@grab.com.vn",https://api.grab.com.vn/shipment,2025-01-10,2025-01-10
7,Lazada Express,"Phone: 19001060, Email: support@lazada.vn",https://api.lazada.vn/shipment,2025-01-10,2025-01-10
8,Shopee Express,"Phone: 19006011, Email: support@shopee.vn",https://api.shopee.vn/shipment,2025-01-10,2025-01-10
9,Tiki Express,"Phone: 19006089, Email: support@tiki.vn",https://api.tiki.vn/shipment,2025-01-10,2025-01-10
10,Best Express,"Phone: 18001006, Email: support@bestexpress.vn",https://api.bestexpress.vn/shipment,2025-01-10,2025-01-10
